MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2023 to Jul 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Vietnamese Dong
2023,Jan,03,1.4273,1.6147,1.3373,0.005693
,,04,1.4179,1.6085,1.3417,0.005702
,,05,1.4239,1.6158,1.3423,0.005716
,,06,1.4149,1.6025,1.3435,0.005721
,,09,1.4198,1.6136,1.3310,0.005668
,,10,1.4287,1.6197,1.3312,0.005676
,,11,1.4292,1.6182,1.3315,0.005678
,,12,1.4327,1.6184,1.3304,0.005675
,,13,1.4349,1.6139,1.3230,0.005642
,,16,1.4296,1.6150,1.3164,0.005616
,,17,1.4311,1.6116,1.3220,0.005640
,,18,1.4268,1.6248,1.3243,0.005650
,,19,1.4279,1.6306,1.3221,0.005632
,,20,1.4332,1.6378,1.3228,0.005641
,,25,1.4362,1.6244,1.3179,0.005620
,,26,1.4317,1.6260,1.3120,0.005595
,,27,1.4285,1.6272,1.3137,0.005602
,,30,1.4278,1.6278,1.3138,0.005601
,,31,1.4252,1.6222,1.3142,0.005605
,Feb,01,1.4276,1.6182,1.3143,0.005604
,,02,1.4370,1.6154,1.3043,0.005562
,,03,1.4286,1.6015,1.3113,0.005591
,,06,1.4287,1.5960,1.3241,0.005638
,,07,1.4249,1.5984,1.3270,0.005638
,,08,1.4214,1.5967,1.3245,0.005614
,,09,1.4226,1.6018,1.3259,0.005612
,,10,1.4240,1.6061,1.3283,0.005633
,,13,1.4209,1.6048,1.3327,0.005653
,,14,1.4250,1.6125,1.3276,0.005623
,,15,1.4281,1.6185,1.3324,0.005638
,,16,1.4286,1.6071,1.3341,0.005647
,,17,1.4268,1.6011,1.3394,0.005635
,,20,1.4276,1.6073,1.3365,0.005614
,,21,1.4267,1.6082,1.3376,0.005632
,,22,1.4276,1.6230,1.3393,0.005640
,,23,1.4216,1.6144,1.3383,0.005611
,,24,1.4235,1.6146,1.3430,0.005644
,,27,1.4241,1.6134,1.3507,0.005673
,,28,1.4279,1.6244,1.3480,0.005668
,Mar,01,1.4265,1.6212,1.3466,0.005674
,,02,1.4316,1.6144,1.3448,0.005672
,,03,1.4290,1.6122,1.3475,0.005679
,,06,1.4308,1.6185,1.3440,0.005669
,,07,1.4376,1.6196,1.3447,0.005686
,,08,1.4282,1.6022,1.3561,0.005713
,,09,1.4281,1.6037,1.3538,0.005709
,,10,1.4367,1.6167,1.3558,0.005722
,,13,1.4405,1.6295,1.3442,0.005707
,,14,1.4427,1.6385,1.3480,0.005718
,,15,1.4427,1.6336,1.3420,0.005692
,,16,1.4317,1.6311,1.3508,0.005728
,,17,1.4279,1.6292,1.3421,0.005689
,,20,1.4316,1.6336,1.3419,0.005690
,,21,1.4345,1.6411,1.3388,0.005676
,,22,1.4397,1.6350,1.3368,0.005688
,,23,1.4442,1.6319,1.3250,0.005635
,,24,1.4380,1.6309,1.3280,0.005652
,,27,1.4354,1.6318,1.3328,0.005665
,,28,1.4364,1.6362,1.3284,0.005651
,,29,1.4398,1.6378,1.3289,0.005658
,,30,1.4412,1.6369,1.3303,0.005667
,,31,1.4473,1.6452,1.3270,0.005644
,Apr,03,1.4399,1.6383,1.3345,0.005683
,,04,1.4456,1.6468,1.3276,0.005656
,,05,1.4531,1.6563,1.3260,0.005652
,,06,1.4484,1.6549,1.3298,0.005670
,,10,1.4494,1.6503,1.3300,0.005672
,,11,1.4489,1.6520,1.3315,0.005678
,,12,1.4550,1.6561,1.3320,0.005681
,,13,1.4578,1.6567,1.3268,0.005658
,,14,1.4656,1.6605,1.3241,0.005647
,,17,1.4621,1.6520,1.3321,0.005671
,,18,1.4591,1.6521,1.3343,0.005677
,,19,1.4635,1.6563,1.3335,0.005673
,,20,1.4621,1.6583,1.3343,0.005677
,,21,1.4616,1.6580,1.3332,0.005675
,,24,1.4670,1.6614,1.3359,0.005687
,,25,1.4746,1.6656,1.3341,0.005681
,,26,1.4682,1.6608,1.3378,0.005696
,,27,1.4753,1.6654,1.3355,0.005690
,,28,1.4701,1.6668,1.3340,0.005687
,May,02,1.4679,1.6702,1.3363,0.005695
,,03,1.4707,1.6659,1.3335,0.005683
,,04,1.4712,1.6706,1.3277,0.005662
,,05,1.4632,1.6708,1.3249,0.005650
,,08,1.4631,1.6760,1.3254,0.005651
,,09,1.4563,1.6714,1.3247,0.005647
,,10,1.4560,1.6754,1.3265,0.005653
,,11,1.4548,1.6727,1.3257,0.005649
,,12,1.4543,1.6673,1.3316,0.005676
,,15,1.4539,1.6677,1.3388,0.005705
,,16,1.4537,1.6736,1.3359,0.005695
,,17,1.4571,1.6738,1.3410,0.005718
,,18,1.4549,1.6750,1.3422,0.005728
,,19,1.4522,1.6725,1.3486,0.005729
,,22,1.4547,1.6748,1.3444,0.005729
,,23,1.4543,1.6735,1.3456,0.005733
,,24,1.4514,1.6734,1.3466,0.005731
,,25,1.4522,1.6689,1.3524,0.005759
,,26,1.4525,1.6681,1.3528,0.005763
,,29,1.4517,1.6704,1.3529,0.005764
,,30,1.4499,1.6722,1.3542,0.005766
,,31,1.4483,1.6772,1.3539,0.005763
,Jun,01,1.4444,1.6804,1.3516,0.005756
,,05,1.4453,1.6798,1.3505,0.005747
,,06,1.4459,1.6787,1.3493,0.005744
,,07,1.4411,1.6747,1.3479,0.005740
,,08,1.4437,1.6786,1.3483,0.005740
,,09,1.4480,1.6857,1.3435,0.005721
,,12,1.4434,1.6893,1.3439,0.005724
,,13,1.4459,1.6813,1.3415,0.005709
,,14,1.4478,1.6925,1.3420,0.005709
,,15,1.4534,1.6995,1.3442,0.005715
,,16,1.4630,1.7087,1.3376,0.005686
,,19,1.4650,1.7167,1.3395,0.005695
,,20,1.4653,1.7164,1.3419,0.005705
,,21,1.4668,1.7148,1.3438,0.005712
,,22,1.4737,1.7117,1.3406,0.005702
,,23,1.4744,1.7139,1.3483,0.005733
,,26,1.4739,1.7207,1.3515,0.005744
,,27,1.4748,1.7178,1.3497,0.005735
,,28,1.4791,1.7196,1.3507,0.005739
,,30,1.4739,1.7107,1.3557,0.005748
,Jul,03,1.4741,1.7155,1.3508,0.005723
,,04,1.4725,1.7135,1.3505,0.005706
,,05,1.4694,1.7165,1.3509,0.005681
,,06,1.4674,1.7185,1.3536,0.005704
,,07,1.4736,1.7238,1.3535,0.005720
,,10,1.4779,1.7282,1.3490,0.005709
,,11,1.4791,1.7288,1.3425,0.005673
,,12,1.4756,1.7338,1.3379,0.005651
,,13,1.4812,1.7294,1.3290,0.005615
,,14,1.4809,1.7308,1.3176,0.005573
,,17,1.4847,1.7308,1.3227,0.005596
,,18,1.4867,1.7298,1.3211,0.005589
,,19,1.4869,1.7249,1.3246,0.005602
,,20,1.4842,1.7125,1.3222,0.005592
,,21,1.4773,1.7081,1.3268,0.005609
,,24,1.4803,1.7115,1.3307,0.005625
,,25,1.4726,1.7068,1.3295,0.005616
,,26,1.4676,1.7121,1.3283,0.005610
,,27,1.4684,1.7147,1.3228,0.005591
,,28,1.4618,1.7036,1.3319,0.005622
,,31,1.4665,1.7112,1.3318,0.005622
,Aug,01,1.4627,1.7071,1.3315,0.005625
,,02,1.4686,1.7074,1.3366,0.005632
,,03,1.4681,1.7075,1.3426,0.005651
,,04,1.4688,1.7073,1.3408,0.005646
,,07,1.4736,1.7069,1.3403,0.005659
,,08,1.4761,1.7145,1.3442,0.005666
,,10,1.4790,1.7126,1.3472,0.005674
,,11,1.4824,1.7116,1.3493,0.005680
,,14,1.4810,1.7163,1.3547,0.005696
,,15,1.4800,1.7208,1.3562,0.005681
,,16,1.4822,1.7256,1.3591,0.005663
,,17,1.4796,1.7317,1.3620,0.005689
,,18,1.4768,1.7301,1.3567,0.005704
,,21,1.4773,1.7293,1.3579,0.005712
,,22,1.4795,1.7314,1.3555,0.005669
,,23,1.4726,1.7291,1.3564,0.005651
,,24,1.4688,1.7187,1.3519,0.005635
,,25,1.4636,1.7060,1.3574,0.005657
,,28,1.4654,1.7082,1.3558,0.005646
,,29,1.4664,1.7090,1.3533,0.005598
,,30,1.4697,1.7079,1.3522,0.005597
,,31,1.4746,1.7176,1.3503,0.005612
,Sep,04,1.4598,1.7058,1.3535,0.005619
,,05,1.4644,1.7129,1.3574,0.005633
,,06,1.4615,1.7117,1.3616,0.005657
,,07,1.4634,1.7056,1.3640,0.005668
,,08,1.4613,1.7041,1.3637,0.005659
,,11,1.4610,1.7034,1.3625,0.005664
,,12,1.4620,1.7028,1.3606,0.005646
,,13,1.4636,1.7007,1.3619,0.005639
,,14,1.4607,1.6990,1.3595,0.005620
,,15,1.4502,1.6920,1.3621,0.005616
,,18,1.4543,1.6895,1.3639,0.005618
,,19,1.4575,1.6889,1.3644,0.005590
,,20,1.4582,1.6912,1.3654,0.005608
,,21,1.4545,1.6849,1.3674,0.005631
,,22,1.4556,1.6780,1.3666,0.005619
,,25,1.4546,1.6719,1.3661,0.005605
,,26,1.4483,1.6687,1.3681,0.005599
,,27,1.4478,1.6644,1.3708,0.005621
,,28,1.4408,1.6647,1.3717,0.005619
,,29,1.4432,1.6677,1.3648,0.005610
,Oct,02,1.4467,1.6685,1.3687,0.005623
,,03,1.4386,1.6598,1.3743,0.005630
,,04,1.4382,1.6587,1.3751,0.005638
,,05,1.4409,1.6648,1.3691,0.005612
,,06,1.4414,1.6653,1.3673,0.005608
,,09,1.4439,1.6691,1.3683,0.005617
,,10,1.4434,1.6711,1.3657,0.005596
,,11,1.4456,1.6757,1.3632,0.005582
,,12,1.4480,1.6782,1.3625,0.005575
,,13,1.4438,1.6708,1.3692,0.005602
,,16,1.4413,1.6649,1.3696,0.005600
,,17,1.4438,1.6700,1.3686,0.005590
,,18,1.4467,1.6658,1.3680,0.005583
,,19,1.4470,1.6660,1.3738,0.005590
,,20,1.4517,1.6660,1.3728,0.005597
,,23,1.4522,1.6682,1.3732,0.005585
,,24,1.4585,1.6746,1.3653,0.005555
,,25,1.4496,1.6641,1.3673,0.005564
,,26,1.4477,1.6585,1.3727,0.005578
,,27,1.4467,1.6617,1.3694,0.005573
,,30,1.4451,1.6587,1.3685,0.005572
,,31,1.4482,1.6601,1.3669,0.005564
,Nov,01,1.4479,1.6637,1.3699,0.005571
,,02,1.4467,1.6639,1.3648,0.005553
,,03,1.4478,1.6622,1.3626,0.005546
,,06,1.4509,1.6727,1.3517,0.005541
,,07,1.4488,1.6687,1.3529,0.005572
,,08,1.4480,1.6636,1.3547,0.005565
,,09,1.4517,1.6651,1.3558,0.005561
,,10,1.4514,1.6624,1.3604,0.005586
,,14,1.4560,1.6703,1.3612,0.005583
,,15,1.4660,1.6831,1.3471,0.005543
,,16,1.4642,1.6744,1.3517,0.005565
,,17,1.4633,1.6727,1.3482,0.005558
,,20,1.4640,1.6732,1.3402,0.005546
,,21,1.4636,1.6739,1.3352,0.005538
,,22,1.4608,1.6781,1.3383,0.005530
,,23,1.4623,1.6769,1.3409,0.005539
,,24,1.4623,1.6819,1.3417,0.005527
,,27,1.4655,1.6877,1.3389,0.005525
,,28,1.4628,1.6866,1.3353,0.005508
,,29,1.4631,1.6905,1.3304,0.005497
