id,symbol,filename,fiscal_year,status,detail
1,XZL.SI,01_XZL.SI_Acrophyte-Hospitality-Trust_FY2023.pdf,2023,DOWNLOADED,9.9 MB
1,XZL.SI,01_XZL.SI_Acrophyte-Hospitality-Trust_FY2024.pdf,2024,DOWNLOADED,10.2 MB
1,XZL.SI,01_XZL.SI_Acrophyte-Hospitality-Trust_FY2025.pdf,2025,DOWNLOADED,6.0 MB
2,O5RU.SI,02_O5RU.SI_AIMS-APAC-REIT_FY2023.pdf,2023,DOWNLOADED,9.9 MB
2,O5RU.SI,02_O5RU.SI_AIMS-APAC-REIT_FY2024.pdf,2024,DOWNLOADED,13.2 MB
2,O5RU.SI,02_O5RU.SI_AIMS-APAC-REIT_FY2025.pdf,2025,DOWNLOADED,8.6 MB
3,M1GU.SI,03_M1GU.SI_Alpha-Integrated-REIT_FY2023.pdf,2023,DOWNLOADED,12.7 MB
3,M1GU.SI,03_M1GU.SI_Alpha-Integrated-REIT_FY2024.pdf,2024,DOWNLOADED,6.7 MB
3,M1GU.SI,03_M1GU.SI_Alpha-Integrated-REIT_FY2025.pdf,2025,DOWNLOADED,15.2 MB
4,BMOU.SI,04_BMOU.SI_BHG-Retail-REIT_FY2023.pdf,2023,DOWNLOADED,14.3 MB
4,BMOU.SI,04_BMOU.SI_BHG-Retail-REIT_FY2024.pdf,2024,DOWNLOADED,17.0 MB
4,BMOU.SI,04_BMOU.SI_BHG-Retail-REIT_FY2025.pdf,2025,DOWNLOADED,12.9 MB
5,A17U.SI,05_A17U.SI_CapitaLand-Ascendas-REIT_FY2023.pdf,2023,DOWNLOADED,9.8 MB
5,A17U.SI,05_A17U.SI_CapitaLand-Ascendas-REIT_FY2024.pdf,2024,DOWNLOADED,13.9 MB
5,A17U.SI,05_A17U.SI_CapitaLand-Ascendas-REIT_FY2025.pdf,2025,DOWNLOADED,8.1 MB
6,HMN.SI,06_HMN.SI_CapitaLand-Ascott-Trust_FY2023.pdf,2023,DOWNLOADED,12.0 MB
6,HMN.SI,06_HMN.SI_CapitaLand-Ascott-Trust_FY2024.pdf,2024,DOWNLOADED,39.2 MB
6,HMN.SI,06_HMN.SI_CapitaLand-Ascott-Trust_FY2025.pdf,2025,DOWNLOADED,14.4 MB
7,AU8U.SI,07_AU8U.SI_CapitaLand-China-Trust_FY2023.pdf,2023,DOWNLOADED,11.7 MB
7,AU8U.SI,07_AU8U.SI_CapitaLand-China-Trust_FY2024.pdf,2024,DOWNLOADED,21.4 MB
7,AU8U.SI,07_AU8U.SI_CapitaLand-China-Trust_FY2025.pdf,2025,DOWNLOADED,9.9 MB
8,CY6U.SI,08_CY6U.SI_CapitaLand-India-Trust_FY2023.pdf,2023,DOWNLOADED,8.5 MB
8,CY6U.SI,08_CY6U.SI_CapitaLand-India-Trust_FY2024.pdf,2024,DOWNLOADED,28.4 MB
8,CY6U.SI,08_CY6U.SI_CapitaLand-India-Trust_FY2025.pdf,2025,DOWNLOADED,14.5 MB
9,C38U.SI,09_C38U.SI_CapitaLand-Integrated-Commercial-Trust_FY2023.pdf,2023,DOWNLOADED,17.7 MB
